Dataset,aa_Normal_AdaBoost,af_PossSum_AdaBoost,ag_PossProd_AdaBoost,ah_Threeway_AdaBoost,ba_Normal_ExtraTrees,bb_Approval_ExtraTrees,bc_Plurality_ExtraTrees,bd_Borda_ExtraTrees,be_Copeland_ExtraTrees,bf_PossSum_ExtraTrees,bg_PossProd_ExtraTrees,bh_Threeway_ExtraTrees,ca_Normal_RandomForest,cb_Approval_RandomForest,cc_Plurality_RandomForest,cd_Borda_RandomForest,ce_Copeland_RandomForest,cf_PossSum_RandomForest,cg_PossProd_RandomForest,ch_Threeway_RandomForest,da_SPA_ExtraTree,db_SPA_DecisionTree
iris,0.94,0.94,0.93,0.89,0.95,0.91,0.95,0.95,0.93,0.94,0.95,0.94,0.92,0.95,0.92,0.92,0.92,0.95,0.95,0.94,0.94,0.88
htru,0.98,0.93,0.98,0.95,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98
sensorless,0.3,0.29,0.44,0.38,0.99,0.99,0.99,0.98,0.97,0.99,0.99,0.98,0.97,0.97,0.97,0.96,0.95,0.97,0.97,0.97,0.91,0.92
iranian,0.79,0.78,0.79,0.74,0.76,0.76,0.76,0.76,0.76,0.75,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.77,0.78,0.77,0.73,0.75
wifi,0.94,0.91,0.94,0.71,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.95,0.96
mice,1.0,1.0,1.0,0.44,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,0.95,0.97
vowel,0.23,0.27,0.3,0.27,0.83,0.83,0.84,0.79,0.73,0.83,0.83,0.84,0.8,0.81,0.8,0.72,0.64,0.81,0.81,0.8,0.66,0.69
frog-species,0.74,0.73,0.77,0.67,0.96,0.96,0.96,0.96,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.95,0.93,0.96,0.97,0.97,0.94,0.94
mushroom,0.67,0.65,0.68,0.63,0.72,0.71,0.72,0.72,0.72,0.72,0.73,0.72,0.73,0.72,0.72,0.72,0.72,0.73,0.73,0.72,0.72,0.7
taiwan,0.96,0.96,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96
frog-genus,0.79,0.79,0.79,0.77,0.96,0.96,0.96,0.96,0.95,0.96,0.97,0.96,0.96,0.96,0.96,0.95,0.94,0.96,0.96,0.96,0.94,0.94
digits,0.43,0.51,0.6,0.42,0.95,0.95,0.95,0.94,0.92,0.95,0.95,0.95,0.95,0.95,0.96,0.93,0.89,0.95,0.95,0.95,0.87,0.89
thyroid,0.99,0.97,0.99,0.95,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.99
robot,0.86,0.89,0.93,0.83,0.95,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.99,0.99,0.98,0.99,0.98,0.99,0.98,0.99,0.92,0.97
sonar,0.75,0.75,0.75,0.69,0.76,0.77,0.76,0.75,0.76,0.77,0.77,0.76,0.73,0.7,0.72,0.71,0.73,0.75,0.71,0.71,0.69,0.68
frog-family,0.86,0.87,0.88,0.84,0.97,0.97,0.98,0.97,0.97,0.97,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96
hcv,0.93,0.93,0.91,0.81,0.93,0.92,0.94,0.92,0.91,0.93,0.93,0.95,0.94,0.94,0.95,0.93,0.93,0.94,0.94,0.93,0.91,0.94
cancerwisconsin,0.95,0.95,0.95,0.94,0.96,0.96,0.96,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.97,0.97,0.96,0.97,0.97,0.96,0.95
obesity,0.41,0.45,0.46,0.42,0.87,0.87,0.88,0.87,0.85,0.87,0.88,0.87,0.89,0.89,0.89,0.89,0.86,0.89,0.89,0.89,0.8,0.84
banknote,0.97,0.96,0.96,0.94,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
wine,0.95,0.93,0.93,0.94,0.93,0.95,0.94,0.96,0.96,0.95,0.92,0.93,0.97,0.94,0.97,0.97,0.93,0.97,0.96,0.94,0.88,0.9
shill,0.99,0.98,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98
crowd,0.76,0.77,0.77,0.76,0.91,0.91,0.91,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.9,0.91,0.9,0.91,0.85,0.88
occupancy,0.99,0.97,0.98,0.94,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
pen,0.42,0.44,0.43,0.36,0.98,0.98,0.98,0.97,0.96,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.94,0.97,0.97,0.97,0.93,0.94
cargo,0.75,0.73,0.72,0.71,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.84,0.83,0.83,0.83,0.84,0.83,0.79,0.78
car,0.86,0.83,0.84,0.8,0.93,0.93,0.93,0.93,0.92,0.94,0.93,0.93,0.91,0.92,0.92,0.91,0.9,0.92,0.92,0.92,0.89,0.88
qualitywine,0.45,0.46,0.46,0.35,0.6,0.61,0.6,0.6,0.61,0.6,0.6,0.59,0.6,0.59,0.59,0.6,0.59,0.59,0.59,0.6,0.55,0.55
ionosfera,0.89,0.86,0.87,0.85,0.89,0.9,0.91,0.9,0.91,0.9,0.9,0.9,0.91,0.91,0.9,0.91,0.91,0.91,0.91,0.91,0.87,0.9
credit,0.73,0.73,0.74,0.65,0.72,0.73,0.72,0.71,0.72,0.72,0.7,0.69,0.73,0.69,0.71,0.71,0.72,0.74,0.73,0.73,0.69,0.69
diabetes,0.74,0.72,0.75,0.69,0.75,0.73,0.73,0.74,0.73,0.75,0.73,0.75,0.74,0.73,0.73,0.73,0.73,0.75,0.74,0.75,0.69,0.72
avila,0.49,0.48,0.48,0.38,0.84,0.85,0.85,0.8,0.77,0.84,0.85,0.85,0.88,0.88,0.88,0.84,0.81,0.88,0.88,0.88,0.69,0.83
